4506451071867431,9007199254740992,4108482512376201,2251799813685248,5158118491351699,9007199254740992,0
2764784851524543,4503599627370496,4168792534574999,2251799813685248,2667366264666589,4503599627370496,0
4453144716081377,9007199254740992,4211432504653741,2251799813685248,5490228229925743,9007199254740992,0
5680906916977031,9007199254740992,8590173469163929,4503599627370496,332322191561339,562949953421312,0
563286998630689,1125899906842624,8219335304618039,4503599627370496,2578228210717831,4503599627370496,0
1382269558700379,2251799813685248,2084856789722397,1125899906842624,5333990784901775,9007199254740992,0
8906918937832057,18014398509481984,4212714591271761,2251799813685248,5488917691061865,9007199254740992,0
2840610834905841,4503599627370496,8592737642399969,4503599627370496,2657922263058773,4503599627370496,0
4506451071867431,9007199254740992,4108482512376201,2251799813685248,5158118491351699,9007199254740992,0
2764784851524543,4503599627370496,4168792534574999,2251799813685248,2667366264666589,4503599627370496,0
2901327271916801,4503599627370496,8782611877747327,4503599627370496,4985025867756451,9007199254740992,0
7024508538298617,9007199254740992,8291998980748325,4503599627370496,4903982407117331,9007199254740992,0
563286998630689,1125899906842624,8219335304618039,4503599627370496,2578228210717831,4503599627370496,0
1382269558700379,2251799813685248,2084856789722397,1125899906842624,5333990784901775,9007199254740992,0
725379143394951,1125899906842624,2196134047269687,1125899906842624,4984332318509155,9007199254740992,0
7024887141624623,9007199254740992,4146961646039873,2251799813685248,4903288857870035,9007199254740992,0
4506451071867431,9007199254740992,4108482512376201,2251799813685248,5158118491351699,9007199254740992,0
2764784851524543,4503599627370496,4168792534574999,2251799813685248,2667366264666589,4503599627370496,0
1688029921897493,2251799813685248,8146251939522941,4503599627370496,1310954455590619,2251799813685248,0
5680906916977031,9007199254740992,8590173469163929,4503599627370496,332322191561339,562949953421312,0
563286998630689,1125899906842624,8219335304618039,4503599627370496,2578228210717831,4503599627370496,0
1382269558700379,2251799813685248,2084856789722397,1125899906842624,5333990784901775,9007199254740992,0
3375799297469571,4503599627370496,8148355537695789,4503599627370496,5243649094768179,9007199254740992,0
5680385824326201,9007199254740992,8592277067336777,4503599627370496,5316986337387127,9007199254740992,0
4506451071867431,9007199254740992,4108482512376201,2251799813685248,5158118491351699,9007199254740992,0
2764784851524543,4503599627370496,4168792534574999,2251799813685248,2667366264666589,4503599627370496,0
1688029921897493,2251799813685248,8146251939522941,4503599627370496,1310954455590619,2251799813685248,0
2901327271916801,4503599627370496,8782611877747327,4503599627370496,4985025867756451,9007199254740992,0
563286998630689,1125899906842624,8219335304618039,4503599627370496,2578228210717831,4503599627370496,0
1382269558700379,2251799813685248,2084856789722397,1125899906842624,5333990784901775,9007199254740992,0
3375799297469571,4503599627370496,8148355537695789,4503599627370496,5243649094768179,9007199254740992,0
1450533362795693,2251799813685248,8784715475920175,4503599627370496,2492428570081077,4503599627370496,0
4453144716081377,9007199254740992,4211432504653741,2251799813685248,5490228229925743,9007199254740992,0
3515198007976221,9007199254740992,8084399736671059,4503599627370496,2796829263758303,4503599627370496,0
8689409985154311,18014398509481984,8674690433649677,4503599627370496,1372102912309475,2251799813685248,0
6425837579859325,18014398509481984,8295664068553403,4503599627370496,5636889210943181,9007199254740992,0
8906918937832057,18014398509481984,4212714591271761,2251799813685248,5488917691061865,9007199254740992,0
7030258901133781,18014398509481984,4044091323658153,2251799813685248,2795991235518513,4503599627370496,0
2172805340800571,4503599627370496,1084678464253793,562949953421312,5487120184884465,9007199254740992,0
3213824478953649,9007199254740992,4149200674467035,2251799813685248,2817798873294873,4503599627370496,0
4453144716081377,9007199254740992,4211432504653741,2251799813685248,5490228229925743,9007199254740992,0
